technology_id,technology,sensor,relation,gate,processor,actuator,evidence_status,evidence_qualifier,assignment_confidence,references,reference_dois
T001,Conventional IgG,Identity + Partner,Independent,Direct,Proximity,Fc effector function,evidence-backed,partial,medium,"Sondermann 2000 (Nature, doi:10.1038/35018508); Clynes 2000 (Nature Medicine, doi:10.1038/74704)",10.1038/35018508; 10.1038/74704
T002,T-cell engager,Identity + Partner,,Direct,Proximity,T-cell recruitment,evidence-backed,partial,medium,"Bargou 2008 (Science, doi:10.1126/science.1158545); Offner 2006 (Molecular Immunology, doi:10.1016/j.molimm.2005.03.007)",10.1126/science.1158545; 10.1016/j.molimm.2005.03.007
T003,Masked antibody / Probody,Context + Identity,,Conditional Unlock,Release,Neutralization,evidence-backed,partial,high,"Desnoyers 2013 (Science Translational Medicine, doi:10.1126/scitranslmed.3006682); Boni 2022 (Clinical Cancer Research, doi:10.1158/1078-0432.ccr-21-3656)",10.1126/scitranslmed.3006682; 10.1158/1078-0432.ccr-21-3656
T004,ADC,Identity,,Direct,Binding -> Trafficking -> Release,Payload delivery,evidence-backed,partial,medium,"LewisPhillips 2008 (Cancer Research, doi:10.1158/0008-5472.CAN-08-1776); Verma 2012 (New England Journal of Medicine, doi:10.1056/nejmoa1209124)",10.1158/0008-5472.CAN-08-1776; 10.1056/nejmoa1209124
T005,Two-in-One antibody,2 Identity,Exclusive,Direct,Binding,Neutralization,evidence-backed,partial,high,"Bostrom 2009 (Science, doi:10.1126/science.1165480); Schaefer 2011 (Cancer Cell, doi:10.1016/j.ccr.2011.09.003)",10.1126/science.1165480; 10.1016/j.ccr.2011.09.003
T007,Switch antibody,State,,Conditional Unlock,Conformational change,Neutralization,evidence-backed,full-text confirmed,medium-high,"Chang 2021 (PNAS, doi:10.1073/pnas.2020606118)",10.1073/pnas.2020606118
T017,Logic-gated protein,2 Identity,Cooperative,AND-like,Assembly / Clustering,Fc effector function / Receptor signal modulation,evidence-backed,partial,high,"Oostindie 2022 (Nature Biotechnology, doi:10.1038/s41587-022-01384-1)",10.1038/s41587-022-01384-1
T015,Conditional agonist antibody,2 Identity,Cooperative,AND-like,Assembly / Clustering,Receptor signal modulation,evidence-backed,partial,high,"Overdijk 2020 (Molecular Cancer Therapeutics, doi:10.1158/1535-7163.mct-20-0044)",10.1158/1535-7163.mct-20-0044
T006,ADCC-enhanced antibody,Partner,,Direct,Binding,Fc effector function,evidence-backed,partial,medium,"Shields 2002 (Journal of Biological Chemistry, doi:10.1074/jbc.M202069200); Goede 2014 (New England Journal of Medicine, doi:10.1056/nejmoa1313984)",10.1074/jbc.M202069200; 10.1056/nejmoa1313984
T008,Recycling antibody,State,,Threshold-like,Release + Trafficking,Neutralization,evidence-backed,partial,medium,"Igawa 2010 (Nature Biotechnology, doi:10.1038/nbt.1691); Yamamura 2019 (New England Journal of Medicine, doi:10.1056/NEJMoa1901747)",10.1038/nbt.1691; 10.1056/NEJMoa1901747
T009,Conditional T-cell engager,Context + Identity + Partner,,Conditional Unlock,Release,T-cell recruitment/killing,evidence-backed,full-text confirmed,high,"Geiger 2020 (Nature Communications, doi:10.1038/s41467-020-16838-w)",10.1038/s41467-020-16838-w
T010,2+1 bispecific T-cell engager,Identity + Partner + Quantity,Avidity-coupled,Threshold,Proximity,T-cell recruitment/killing,evidence-backed,partial,high,"Bacac 2016 (Clinical Cancer Research, doi:10.1158/1078-0432.CCR-15-1696); Segal 2024 (Nature Communications, doi:10.1038/s41467-024-48479-8); Bacac 2016 (Oncoimmunology, doi:10.1080/2162402x.2016.1203498)",10.1158/1078-0432.CCR-15-1696; 10.1038/s41467-024-48479-8; 10.1080/2162402x.2016.1203498
T011,Biparatopic antibody-drug conjugate,2x Identity,Cooperative,,Clustering -> Trafficking -> Release,Payload delivery,evidence-backed,partial,high,"Li 2016 (Cancer Cell, doi:10.1016/j.ccell.2015.12.008); MericBernstam 2022 (The Lancet Oncology, doi:10.1016/s1470-2045(22)00621-0)",10.1016/j.ccell.2015.12.008; 10.1016/s1470-2045(22)00621-0
T012,Emicizumab-type cofactor-mimetic bispecific,2x Identity/Partner,Independent,Direct,Proximity,Enzyme complex assembly / catalytic scaffolding,evidence-backed,partial,medium,"Kitazawa 2012 (Nature Medicine, doi:10.1038/nm.2942); Oldenburg 2017 (New England Journal of Medicine, doi:10.1056/nejmoa1703068)",10.1038/nm.2942; 10.1056/nejmoa1703068
T013,Bystander-effect ADC,Identity,,Direct,Binding -> Trafficking -> Release,Payload delivery,evidence-backed,partial,high,"Okeley 2010 (Clinical Cancer Research, doi:10.1158/1078-0432.CCR-09-2069); Younes 2012 (Journal of Clinical Oncology, doi:10.1200/jco.2011.38.0410)",10.1158/1078-0432.CCR-09-2069; 10.1200/jco.2011.38.0410
T014,Dual-payload ADC,Identity,,Direct,Binding -> Trafficking -> Release,Payload delivery / killing,evidence-backed,,high,"Levengood 2017 (Angewandte Chemie International Edition, doi:10.1002/anie.201608292)",10.1002/anie.201608292
T018,Allosteric protein switch,Partner,,Conditional Unlock,Conformational change / Assembly,Multi-output,evidence-backed,partial,high,"Langan 2019 (Nature, doi:10.1038/s41586-019-1432-8); Lajoie 2020 (Science, doi:10.1126/science.aba6527)",10.1038/s41586-019-1432-8; 10.1126/science.aba6527
T019,Receptor-Fc fusion trap,Identity,,Direct,Binding,Neutralization,evidence-backed,full-text confirmed,high,"Holash 2002 (Proceedings of the National Academy of Sciences, doi:10.1073/pnas.172398299); Heier 2012 (Ophthalmology, doi:10.1016/j.ophtha.2012.09.006)",10.1073/pnas.172398299; 10.1016/j.ophtha.2012.09.006
